Name PL_distance PL_unc MS_distance MS_unc
X166.5-Y151.6-N759 15686.240871978902 4070.61523477393 16403.450135930525 21.253283218576705
X166.9-Y150.1-N671 15706.211724174686 1718.488986016167 16518.56347898658 21.402430895555252
X167.6-Y039.2-N719 21613.47776413434 2302.4757269801776 22940.548363112393 29.723135530050232
X167.6-Y157.8-N985 15849.151495569253 2073.3636055244842 16879.010938606647 21.869448009713548
X167.8-Y038.3-N610 19301.109027432387 11406.057787486683 20487.36913485157 26.5446509739292
X169.4-Y035.5-N772 20511.557595722217 2148.1630053319423 22853.41365901864 29.610238637693733
X169.6-Y036.5-N669 20406.034445973914 2143.517336140657 22776.788418461652 29.51095842982563
X170.1-Y035.8-N594 20959.747796678996 2339.3355613733206 21704.435526716647 28.121554400206616
X170.4-Y165.4-N746 16104.085915934907 2177.4789986951564 16311.671988594431 21.13437000565831
X171.2-Y142.9-N610 26188.613971155577 3679.239364890815 26229.49597585989 33.98449119154437
X171.5-Y156.8-N555 16285.554295939044 1571.582276003495 18620.55764083542 24.125899243699436
X171.6-Y160.3-N1012 15056.099238836217 1719.5486064256393 15641.310408453204 20.26580976963904
X171.9-Y035.7-N961 20570.77962291769 2017.9615549370294 21795.718204723835 28.239825653666124
X172.6-Y166.5-N847 12874.560981157478 1203386.9215868013 14774.652331863768 19.142916146481305
X175.0-Y168.0-N675 16815.51696571079 1653.616178408396 19430.76340724353 25.175649904450832
X177.5-Y101.3-N831 2228.2402202414974 243.21286480184838 2117.2168909333477 2.743191819115939
X178.2-Y065.5-N998 1391.7875321780848 132.60249473649236 1493.32399056065 1.9348391616078906
X180.6-Y167.4-N552 14013.563786991263 1544.331001099054 16112.36453042456 20.876135437871834
X183.4-Y166.8-N667 14017.375121139237 1754.2027635908114 13192.5722889255 17.093079377485168
X185.3-Y160.0-N766 14151.64632228188 1434.0777735762367 14930.554795469678 19.34491262807711
X185.7-Y162.7-N813 17131.951248221463 1730.3594599384528 19330.95220841113 25.04632859341005
X191.2-Y073.9-N1050 2109.7288109448527 1535147.739666437 2550.795052169678 3.3049614091585107
X191.9-Y150.8-N686 19418.30332093426 2430.7368552389607 20850.509768354415 27.015157523956976
X194.1-Y113.3-N882 3017.410340671928 429.92408616995397 3121.616932279622 4.0445521040918395
X196.5-Y085.1-N854 1900.2241713479737 208.46302544819932 2182.081403134957 2.8272341295586636
X198.6-Y063.4-N731 17041.47151364538 2223.4455348411375 18164.065114644953 23.534440442904952
X200.1-Y127.6-N719 2689.450372312615 253.53584999567875 2758.3598961814982 3.5738947359554136
X200.3-Y052.0-N939 16640.63240199285 7238.6597597967175 17036.321057579924 22.07326833312
X200.4-Y158.9-N891 15531.268310785874 468579.9952649834 15341.525802461338 19.877391047789875
X200.5-Y055.5-N932 17429.367459119454 7052.204780659573 17080.358149405933 22.130325402025925
X201.9-Y049.0-N701 18330.501301727272 1948.311558097957 19051.646162716177 24.68444310928175
X202.0-Y048.5-N694 17470.468901777414 21162.122316296754 17536.025819909133 22.720715470853012
X202.9-Y050.5-N724 14912.64864620497 1717.555599428074 15367.803056891624 19.91143741766851
X202.9-Y106.4-N1164 1364.7621221504426 16152.377209435248 1499.8120326566618 1.9432454538853032
X204.1-Y168.1-N968 15334.35433192428 14581.161623437825 15741.016982478122 20.394995522571822
X204.3-Y048.7-N605 17099.128555578227 1761.7807558901636 16595.436987439207 21.50203277403877
X205.6-Y051.2-N2326 17930.244158248086 4169.878087996529 19034.936632096586 24.66279325002868
X206.3-Y053.2-N968 15122.954749222685 4772.686180741381 15920.188799819369 20.627141159446076
X206.4-Y052.4-N660 17460.98144558954 1904.0203865691738 19278.72981977799 24.978666168324267
X207.1-Y056.3-N693 15401.045511285332 1472.1142389883305 15672.26494181614 20.305916299607407
X207.9-Y147.5-N631 2729.7743982318116 292.4020202153427 2721.2085717550535 3.525759275827369
X208.2-Y048.2-N687 17582.96136455484 18359.602354036662 17913.187803302026 23.209388913689953
X208.7-Y050.2-N869 17193.85631211144 1823.5558942575108 17844.051351581587 23.119811624950955
X209.1-Y048.1-N614 17438.6461150574 1823.410964815889 20691.508759966648 26.809146383904036
X209.5-Y054.8-N740 18078.71521826257 5106.53236746926 17210.434150239424 22.29885958616067
X209.9-Y044.3-N626 16259.947124622091 1552.6593331090933 16875.1338256719 21.864424592164816
X211.6-Y126.0-N691 3665.4017395238097 388.15691029538476 3742.5769227898904 4.849104709571553
X212.8-Y154.4-N622 25580.366705475943 3008.953985187741 28528.862926410056 36.96368743492695
X213.5-Y154.5-N832 24874.10634416392 2389.3370603054345 620.1459637365057 0.8034979040951301
X213.8-Y144.6-N944 2405.7465356468188 624.1752309661213 2637.330072377989 3.4170813154935775
X229.0-Y111.8-N1966 1963.3444767478509 243.83799132111582 2087.24769489176 2.7043619506415184
X234.5-Y073.1-N715 2525.9508732197987 949.8194882156662 2597.5621468708387 3.3655556317615094
X239.3-Y137.4-N603 28113.88900423638 3839.9346752589117 31351.98369766898 40.62149020291816
X248.2-Y010.1-N731 21841.277511733337 2413.453995286852 21947.606580354604 28.436621244724083
X248.2-Y103.4-N874 2034.2137667756995 1261.8426180778235 2067.0107435060645 2.6781417557607683
X251.0-Y010.7-N896 20951.411069547827 2182.067976986501 19903.03328043924 25.787550772100847
X254.4-Y075.0-N653 14497.593953860496 1534.305963557478 13362.465037242504 17.313202502001186
X254.8-Y073.3-N730 14683.644550263783 7692.788518758235 15604.405967550934 20.217994186452596
X255.0-Y074.3-N713 14544.371505592191 1527.4060807372118 15039.102606239563 19.485553611890364
X256.7-Y075.3-N808 15028.09854071328 132815.08013080008 15254.898764431246 19.765151917705463
X256.9-Y110.8-N726 6769.127925626481 666.4232443518259 7961.722064664379 10.31567947874914
X257.2-Y105.5-N674 29658.236811415783 2984.8957264343067 31850.79657164512 41.26778175718489
X257.5-Y010.4-N1163 21479.662899510975 2331.224081802965 20850.509768354415 27.015157523956976
X257.7-Y106.4-N580 28316.505484325964 3914.2301947288774 30033.31479510333 38.912944535664394
X258.0-Y105.1-N666 29546.827016984596 3641.751227661129 29609.837333056188 38.36426201076936
X258.2-Y104.3-N729 28891.344509968898 3905.5055813165645 29495.34844754395 38.215923418033874
X258.2-Y106.5-N530 29485.955188430027 5940.068270170216 31765.144598401355 41.15680597888858
X258.5-Y076.8-N589 14542.724537527116 20813.231937537763 16193.946644545142 20.981838065221986
X259.4-Y104.3-N656 29192.393796635202 2938.7932566148775 30251.982743326003 39.196263703027945
X260.6-Y108.1-N817 7034.42959714927 7684.798151322039 7119.724874205382 9.224737962801052
X260.7-Y109.7-N858 7420.705195924296 774.7815630082097 7514.070579867502 9.73567565572629
X261.9-Y110.2-N597 6732.314517989634 753.1301570763716 6252.084637654114 8.100571794924873
X262.7-Y110.4-N1027 7503.213583890845 729.2976734568454 7834.580607842854 10.15094746394383
