Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S007544 -18.5336 22.8131 3.557e-22 8.058e-22 3.281e-21 0.0 115.8 0.0
S007545 -18.512 22.8246 7.917e-24 2.547e-23 2.103e-22 0.0 116.57 0.0
S007546 -18.4725 22.827 6.436e-19 7.264e-19 6.713e-19 0.0 113.09 0.0
S007547 -18.5096 22.8275 2.189e-23 5.879e-23 3.245e-22 0.0 114.34 0.0
S007548 -18.549 22.8044 6.848e-20 9.464e-20 1.342e-19 0.0 116.04 0.0
S007549 -18.4538 22.8337 7.006e-22 1.547e-21 5.879e-21 0.0 112.74 0.0
S007550 -18.4885 22.8347 1.565e-21 3.013e-21 8.204e-21 0.0 112.9 0.0
S007551 -18.511 22.8216 3.801e-21 7.576e-21 2.207e-20 0.0 115.11 0.0
S007552 -18.5311 22.8098 7.551e-24 2.670e-23 2.601e-22 0.0 115.61 0.0
S007553 -18.4949 22.823 9.753e-23 1.974e-22 6.340e-22 0.0 113.53 0.0
S007554 -18.7139 22.7736 3.432e-22 7.514e-22 2.771e-21 0.0 117.23 0.0
S007555 -18.4564 22.8415 7.917e-18 7.645e-18 5.011e-18 0.0 112.81 0.0
S007556 -18.5088 22.8271 1.213e-16 3.301e-16 1.947e-15 0.0 114.66 1.0
S007557 -18.4237 22.8356 1.739e-21 3.313e-21 8.919e-21 0.0 112.57 0.0
S007558 -18.5281 22.8179 8.459e-18 2.319e-17 1.321e-16 0.0 116.47 1.0
S007559 -18.5051 22.8209 3.749e-21 6.761e-21 1.629e-20 0.0 114.46 0.0
S007560 -18.4619 22.8239 4.264e-23 1.203e-22 7.262e-22 0.0 113.09 0.0
S007561 -18.5239 22.8137 1.553e-21 1.065e-21 3.706e-22 0.0 116.73 0.0
S007562 -18.5022 22.8132 8.666e-24 2.655e-23 1.859e-22 0.0 114.58 1.0
S007563 -18.5396 22.8141 1.554e-21 1.060e-21 3.705e-22 0.0 116.82 0.0
S007564 -18.5439 22.8195 5.346e-17 4.289e-17 1.974e-17 0.0 116.98 0.0
S007565 -18.508 22.8281 1.414e-20 2.291e-20 4.449e-20 0.0 113.9 0.0
S007566 -18.5372 22.8091 1.014e-18 1.120e-18 1.017e-18 0.0 115.71 0.0
S007567 -18.5246 22.8387 6.536e-20 9.312e-20 1.435e-19 0.0 115.11 0.0
S007568 -18.5167 22.8244 1.496e-21 1.033e-21 3.564e-22 0.0 115.39 0.0
S007569 -18.539 22.8274 2.293e-24 8.174e-24 8.032e-23 0.0 116.49 0.0
S007570 -18.5845 22.8082 1.132e-23 3.257e-23 2.178e-22 0.0 116.65 0.0
S007571 -18.6226 22.7892 7.384e-23 1.934e-22 1.033e-21 0.0 117.41 0.0
S007572 -18.4915 22.829 1.175e-22 3.065e-22 1.593e-21 0.0 113.66 0.0
S007573 -18.4938 22.8291 2.870e-19 3.755e-19 4.529e-19 0.0 113.08 0.0
S007574 -18.5079 22.8145 5.066e-21 9.315e-21 2.453e-20 0.0 114.91 0.0
S007575 -18.5162 22.8166 2.909e-15 1.062e-14 1.138e-13 0.0 115.55 0.0
S007576 -18.5179 22.8235 2.273e-24 7.527e-24 6.524e-23 0.0 115.34 0.0
S007577 -18.4935 22.8322 2.143e-17 2.003e-17 1.228e-17 0.0 114.35 0.0
S007578 -18.5221 22.8145 1.079e-16 3.215e-16 2.268e-15 0.0 115.73 1.0
S007579 -18.49 22.8293 2.587e-24 9.218e-24 8.895e-23 0.0 114.14 0.0
S007580 -18.4753 22.8153 5.443e-24 1.774e-23 1.515e-22 0.0 114.07 0.0
S007581 -18.4781 22.8334 1.613e-19 2.065e-19 2.465e-19 0.0 113.24 0.0
S007582 -18.5047 22.8261 4.138e-18 6.379e-18 1.115e-17 0.0 113.46 0.0
S007583 -18.5279 22.8197 1.461e-21 2.712e-21 7.075e-21 0.0 116.69 0.0
S007584 -18.5109 22.8252 1.105e-20 1.944e-20 4.409e-20 0.0 114.54 0.0
S007585 -18.5041 22.833 6.029e-23 1.482e-22 7.026e-22 0.0 114.34 0.0
S007586 -18.5109 22.8237 1.408e-21 2.733e-21 7.792e-21 0.0 114.64 0.0
S007587 -18.5512 22.8161 4.733e-20 7.082e-20 1.174e-19 0.0 117.22 0.0
S007588 -18.4696 22.8266 2.757e-19 3.363e-19 3.686e-19 0.0 112.7 0.0
S007589 -18.4981 22.8328 1.736e-24 6.826e-24 8.422e-23 0.0 113.18 0.0
S007590 -18.5074 22.8242 7.538e-19 8.791e-19 8.720e-19 0.0 113.82 0.0
S007591 -18.5185 22.833 1.606e-20 2.531e-20 4.760e-20 0.0 115.22 0.0
S007592 -18.5195 22.8291 2.238e-24 7.171e-24 5.816e-23 0.0 116.33 0.0
S007593 -18.5152 22.8222 6.381e-24 1.982e-23 1.476e-22 0.0 115.59 0.0
S007594 -18.4676 22.8357 1.968e-21 1.352e-21 4.552e-22 0.0 113.21 0.0
