Name X Y BlueF GreenF RedF Size RadialVelocity
DG1138 -22.6887 -17.6975 1.561e-16 1.369e-16 5.685e-17 63.3036 755.24
DG1139 -22.6575 -18.1070 2.384e-16 1.728e-16 7.033e-17 60.4211 756.26
DG1140 -22.8424 -17.8928 1.592e-16 1.322e-16 6.236e-17 127.2035 754.09
DG1141 -22.6609 -17.4569 2.334e-16 1.913e-16 8.488e-17 76.3603 757.57
DG1142 -23.0421 -17.7213 2.367e-16 2.012e-16 8.438e-17 67.493 756.09
DG1143 -22.6192 -17.8240 1.705e-16 1.461e-16 7.146e-17 101.3832 757.23
DG1144 -22.6442 -18.0522 1.924e-16 1.638e-16 8.096e-17 62.3254 755.44
DG1145 -23.1444 -17.6930 2.160e-16 1.807e-16 7.676e-17 57.318 753.36
DG1146 -22.7713 -18.0657 1.403e-16 1.174e-16 5.664e-17 87.9402 756.12
DG1147 -22.8740 -17.9007 1.486e-16 1.386e-16 5.956e-17 95.9507 757.61
DG1148 -22.9212 -18.2523 2.137e-16 1.707e-16 7.052e-17 60.1555 754.4
DG1149 -22.6505 -17.6988 7.810e-26 2.288e-27 1.010e-32 79.4721 757.69
DG1150 -22.8254 -18.0834 1.523e-16 1.223e-16 5.460e-17 93.6493 757.53
DG1314 9.6839 -9.4583 2.901e-15 2.201e-15 7.462e-16 476.1117 315.11
DG1315 9.5900 -9.1509 5.644e-26 1.514e-27 7.399e-33 177.9449 310.47
DG1316 9.6380 -9.5805 1.193e-15 8.803e-16 4.218e-16 157.2798 317.68
DG1317 10.3946 -9.6456 5.210e-26 1.409e-27 6.884e-33 162.9046 314.75
DG1318 9.4553 -9.5581 1.603e-15 1.212e-15 5.337e-16 161.9908 311.07
DG1319 9.0688 -9.0411 7.830e-16 6.461e-16 2.815e-16 205.487 310.58
DG1320 10.3268 -8.7629 1.062e-15 8.154e-16 3.750e-16 126.0449 313.7
DG1321 10.3302 -9.0323 1.177e-15 9.872e-16 4.045e-16 165.5575 314.76
DG1322 10.5264 -9.1061 1.209e-15 9.426e-16 4.715e-16 147.2586 312.79
DG1323 10.1367 -9.2034 9.205e-16 6.487e-16 3.166e-16 243.3857 312.39
DG1324 9.6581 -8.7917 1.051e-15 9.051e-16 3.829e-16 126.6535 313.32
DG1325 9.1174 -9.8003 7.296e-16 6.123e-16 2.671e-16 221.1138 311.06
DG1326 10.3485 -10.1000 1.498e-15 1.233e-15 5.328e-16 150.0332 314.5
DG1327 9.8884 -10.3529 1.181e-15 9.465e-16 4.485e-16 147.6327 310.89
DG1328 9.5857 -9.8185 6.842e-16 5.351e-16 2.827e-16 265.383 316.39
DG1329 8.8731 -9.1471 5.516e-26 1.506e-27 7.144e-33 147.7821 313.78
DG1330 9.8769 -8.9818 7.118e-16 6.456e-16 2.535e-16 158.8548 310.76
DG1331 9.8500 -9.2375 1.003e-15 8.626e-16 3.910e-16 138.4117 313.52
DG1332 10.3557 -9.7344 5.910e-26 1.392e-27 7.525e-33 155.9387 309.31
DG1333 9.4198 -8.4622 1.024e-15 8.581e-16 3.661e-16 121.7801 312.94
DG1334 9.4651 -8.4785 1.094e-15 9.066e-16 4.424e-16 169.3863 311.69
DG1335 8.8930 -9.6673 5.397e-26 1.526e-27 7.020e-33 160.2264 311.93
DG1350 -39.9345 16.8661 7.854e-16 6.229e-16 3.107e-16 450.7667 323.74
DG1351 -39.6454 16.9071 1.800e-15 1.477e-15 5.053e-16 152.6689 325.15
DG1352 -40.1542 16.8747 1.756e-15 1.387e-15 5.508e-16 128.4683 322.41
DG1353 -39.6907 16.3868 1.174e-15 9.406e-16 4.334e-16 165.3987 324.37
DG1354 -40.0928 16.8564 8.972e-16 7.985e-16 3.209e-16 167.2241 324.44
DG1355 -39.7176 17.2812 9.030e-16 7.626e-16 3.025e-16 170.3665 324.46
DG1356 -40.0471 16.2984 1.306e-15 1.050e-15 4.918e-16 168.4547 324.39
DG1357 -39.5305 17.1547 1.645e-15 1.387e-15 5.094e-16 151.8866 323.0
DG1358 -39.3649 16.7578 5.881e-26 1.549e-27 6.964e-33 160.6523 322.29
DG1478 8.8531 -40.9242 9.773e-17 8.087e-17 3.604e-17 50.0512 1065.62
DG1479 8.7709 -40.9055 9.530e-17 7.871e-17 3.662e-17 49.2008 1065.29
DG1480 8.7661 -40.8818 1.376e-16 1.114e-16 4.678e-17 37.7406 1065.88
DG1496 20.7448 -13.8283 2.576e-15 1.776e-15 6.247e-16 300.1706 395.25
DG1497 21.3840 -14.1750 9.430e-16 8.535e-16 3.599e-16 125.2602 395.97
DG1498 20.1959 -13.5945 5.494e-26 1.443e-27 6.632e-33 161.2135 398.2
DG1499 20.6886 -14.2162 9.654e-16 6.880e-16 3.034e-16 119.2241 394.38
DG1500 21.1004 -14.4131 9.995e-16 8.332e-16 3.400e-16 137.8472 394.7
DG1501 20.2277 -13.7320 9.523e-16 8.855e-16 3.621e-16 144.1351 397.36
DG1502 20.6769 -14.0095 7.414e-16 5.311e-16 2.363e-16 298.983 396.93
DG1503 20.2936 -13.7789 1.344e-15 9.355e-16 3.951e-16 114.647 395.49
DG1504 21.1442 -14.2794 9.025e-16 7.124e-16 2.917e-16 116.8152 398.93
DG1505 20.2742 -13.6775 5.618e-26 1.359e-27 6.373e-33 172.9833 396.32
DG1506 20.9881 -13.9852 9.431e-16 8.152e-16 3.082e-16 124.1312 395.46
DG1507 20.7651 -13.9867 8.499e-16 7.356e-16 3.134e-16 140.0697 397.17
DG1508 20.3680 -13.4920 1.009e-15 7.822e-16 4.055e-16 148.5162 395.3
DG1612 8.9295 -22.9871 4.473e-16 3.533e-16 1.569e-16 107.3326 499.07
DG1647 -0.9599 19.1232 3.612e-16 3.328e-16 1.191e-16 101.7546 511.42
DG1651 -1.2241 -34.9734 1.005e-15 7.088e-16 3.838e-16 183.1035 359.08
DG1714 21.5106 -35.2029 5.547e-16 4.403e-16 1.561e-16 170.7326 875.52
DG1715 21.7238 -35.4919 9.726e-26 2.332e-27 1.088e-32 61.3439 875.7
DG1716 21.7676 -35.0385 1.892e-16 1.708e-16 6.582e-17 44.6321 875.65
DG1717 21.6801 -35.6259 1.972e-16 1.464e-16 6.794e-17 48.9088 876.92
DG1718 21.4926 -35.2737 1.788e-16 1.614e-16 7.060e-17 52.3935 877.15
DG1719 21.5278 -35.0555 1.033e-25 2.695e-27 1.206e-32 63.7558 877.94
DG1720 21.6249 -35.6272 1.292e-16 1.153e-16 5.242e-17 67.0914 875.32
DG1721 21.5372 -35.0107 2.089e-16 1.674e-16 7.739e-17 59.9908 876.56
DG1722 21.4894 -35.2036 2.102e-16 1.728e-16 8.293e-17 53.6649 879.1
DG1723 21.6272 -34.8050 1.961e-16 1.596e-16 7.138e-17 52.2867 880.23
DG1724 21.6660 -35.0876 9.003e-26 2.345e-27 1.274e-32 61.6052 875.03
DG1725 21.5503 -35.4106 2.680e-16 2.291e-16 9.188e-17 52.6031 876.21
DG1726 21.5350 -34.9405 2.143e-16 1.885e-16 8.288e-17 54.5193 877.36
DG1727 21.1565 -35.1206 2.847e-16 2.417e-16 9.464e-17 58.2776 878.79
DG1728 21.5023 -34.9952 2.782e-16 2.214e-16 9.275e-17 58.9666 879.08
DG1754 4.8256 -25.3686 1.729e-16 1.684e-16 7.726e-17 53.3023 942.24
DG1755 4.8002 -25.4185 1.515e-16 1.281e-16 5.807e-17 51.6565 941.61
DG1808 24.0676 18.1639 6.523e-16 5.345e-16 2.456e-16 277.4119 357.04
DG1809 24.1950 18.4572 8.833e-16 7.430e-16 3.436e-16 142.6298 359.88
DG1810 24.3330 18.4595 5.408e-26 1.350e-27 6.879e-33 137.6202 359.08
DG1811 24.3309 18.1392 5.533e-26 1.456e-27 7.217e-33 161.5048 358.44
DG1812 24.4124 18.4610 7.190e-16 6.052e-16 2.559e-16 177.2474 357.77
DG1813 23.9507 17.7938 9.953e-16 8.612e-16 4.101e-16 149.6825 358.79
DG1814 23.7752 18.1087 1.377e-15 1.046e-15 4.069e-16 123.6818 358.39
DG1868 -5.6249 44.8520 3.438e-15 2.816e-15 1.300e-15 265.7647 162.2
DG1870 -5.4592 43.1584 2.266e-15 1.764e-15 7.265e-16 319.086 164.75
DG1874 -7.1598 44.1748 3.834e-15 2.920e-15 1.229e-15 258.4789 161.61
DG1875 -4.3983 44.3160 8.519e-26 2.432e-27 1.039e-32 317.4437 167.09
DG1879 -4.5850 43.7628 2.835e-15 2.446e-15 1.057e-15 244.65 165.4
DG1884 -8.4521 44.8600 2.282e-15 1.809e-15 7.679e-16 248.7674 165.54
DG1971 -16.6823 18.5820 1.113e-25 2.814e-27 1.358e-32 332.0732 145.28
DG1972 -16.8871 18.9845 4.960e-15 4.175e-15 1.641e-15 263.3638 145.83
DG1973 -16.7820 19.1751 4.173e-15 3.486e-15 1.622e-15 273.4411 145.09
DG1998 10.7645 -20.4446 2.367e-16 1.909e-16 1.051e-16 64.7058 724.0
DG1999 10.8284 -20.3860 8.412e-26 1.969e-27 9.946e-33 69.7377 723.54
DG2000 10.7462 -20.4523 7.512e-26 2.148e-27 1.074e-32 68.3126 723.71
DG2082 -16.0075 -33.3834 8.443e-17 6.844e-17 3.105e-17 48.0593 1173.3
DG2226 -43.7040 43.2446 9.387e-16 7.244e-16 3.333e-16 232.6868 295.21
DG2227 -43.7821 43.5629 1.275e-15 1.074e-15 4.206e-16 166.2545 295.79
DG2228 -43.9091 42.8913 1.407e-15 1.233e-15 4.886e-16 171.8345 293.9
DG2229 -44.3248 43.4245 6.601e-26 1.635e-27 7.151e-33 155.5205 295.16
DG2230 -43.9827 43.7695 6.488e-26 1.514e-27 6.978e-33 171.8916 293.81
DG2241 -18.4026 -33.9523 2.815e-15 2.159e-15 8.382e-16 447.8513 213.43
DG2242 -18.2741 -33.2645 3.946e-15 2.947e-15 1.340e-15 293.1518 212.71
DG2243 -18.6348 -33.1513 9.988e-26 2.610e-27 1.120e-32 243.1263 211.81
DG2244 -18.4344 -34.0760 3.830e-15 2.898e-15 1.204e-15 257.4744 210.77
DG2245 -18.2010 -34.4085 4.241e-15 3.145e-15 1.479e-15 254.7305 210.8
DG2246 -18.7504 -34.5347 3.645e-15 2.947e-15 1.386e-15 265.8719 212.55
DG2247 -19.1606 -33.6189 9.006e-26 2.653e-27 1.033e-32 300.146 210.89
DG2248 -18.5183 -33.6895 3.367e-15 2.742e-15 1.224e-15 247.263 212.57
DG2254 21.4962 10.7652 1.637e-15 1.264e-15 6.059e-16 429.0307 220.0
DG2255 21.4858 10.7755 2.492e-15 1.923e-15 8.666e-16 190.5185 219.13
DG2256 21.0761 10.5101 3.211e-15 2.472e-15 1.052e-15 261.8563 219.87
DG2257 21.9355 11.1603 2.529e-15 2.228e-15 9.601e-16 231.5307 217.35
DG2258 21.7667 11.0724 2.367e-15 2.319e-15 8.939e-16 228.486 219.09
DG2259 21.4325 10.6634 1.811e-15 1.415e-15 5.556e-16 226.9371 217.89
DG2260 21.3482 10.7946 7.476e-26 1.982e-27 9.657e-33 268.2291 221.04
DG2264 -1.7768 -21.6742 8.121e-16 6.141e-16 1.982e-16 228.4828 675.01
DG2265 -1.9621 -21.7061 2.956e-16 2.277e-16 1.056e-16 65.1933 674.17
DG2266 -2.0009 -21.6430 2.966e-16 2.537e-16 1.286e-16 80.5392 675.59
DG2267 -1.7054 -21.9348 7.030e-26 1.816e-27 9.197e-33 84.2315 676.44
DG2268 -1.9803 -21.6498 7.231e-26 1.705e-27 8.417e-33 80.0482 674.61
DG2269 -2.0016 -21.8746 2.824e-16 2.293e-16 9.890e-17 74.8285 675.16
DG2270 -1.8374 -21.4362 2.958e-16 2.281e-16 1.027e-16 63.4517 677.63
